date,text,username,location,retweetcount,likecount,source,cleaned_text,Processed_Tweets,polarity,Sentiment
2022-07-25 12:33:00+00:00,"Do you want to learn about seamlessly embedding interactive charts, maps and other visualizations from Flourish in Canva presentations and designs?

Then join @Code4Africa's Freda Victor during this week's #DataFestAfrica event in Nigeria in this #dataviz session

#DFA22 |@Cc_HUB https://t.co/HavZocvLBO",PollicyOrg,kampala uganda,9,13,Twitter Web App,do you want to learn about seamlessly embedding interactive charts maps and other visualizations from flourish in canva presentations and designsthen join s freda victor during this weeks  event in nigeria in this  session  ,want learn seamlessly embedding interactive chart map visualization flourish canva presentation designsthen join freda victor week event nigeria session,0.1,Positive
2022-07-25 12:30:00+00:00,"#DataViz: @f_l_o_u_r_i_s_h + @canva = 🚀

Join @code4africa's Freda Victor at @PollicyOrg's first ever #DataFestAfrica event in Nigeria 🇳🇬 and learn how to supercharge your data visualisations.

🗓️ 27 July, 3 pm WAT
📍 @Cc_HUB
🗺️ Explore #DFA22: https://t.co/pzdWB0IOmA https://t.co/QA5YiSV6bi",Code4Africa,africa,11,11,Twitter Web App,  +  = join s freda victor at s first ever  event in nigeria  and learn how to supercharge your data visualisations️  july  pm wat ️ explore   ,+ = join freda victor first ever event nigeria learn supercharge data visualisations️ july pm wat ️ explore,0.25,Positive
2022-07-25 11:13:00+00:00,"Introducing the speakers for this week's  #DataFestAfrica event in Nigeria;

Israel Odeajo
Lightning talk about ""Zindi: A tool for scaling your data science journey""

#BigDataLittleData #DFA22 #DataFestKampala #DataScience #Data #DataFestNigeria | @Cc_HUB @ZindiAfrica https://t.co/AJe8CZqQ3V",PollicyOrg,kampala uganda,4,8,Twitter Web App,introducing the speakers for this weeks   event in nigeria;israel odeajolightning talk about zindi a tool for scaling your data science journey         ,introducing speaker week event nigeria ; israel odeajolightning talk zindi tool scaling data science journey,0.0,Positive
2022-07-25 11:10:06+00:00,@DavidAbu_ @DataFestAfrica We are expectant☺️☺️☺️,bahkitajay,abuja nigeria,0,0,Twitter for Android,  we are expectant☺️☺️☺️,expectant☺️☺️☺️,0.0,Positive
2022-07-25 11:01:40+00:00,Join this lightning talk on 'Binging on data to grow Africa' at #DataFestAfrica in Nigeria with @KarenChukwu. https://t.co/qvmDxnTCij,CivicTechAfrica,johannesburg south africa,5,7,TweetDeck,join this lightning talk on binging on data to grow africa at  in nigeria with  ,join lightning talk binging data grow nigeria,0.0,Positive
2022-07-25 10:07:00+00:00,"Introducing the speakers for this week's  #DataFestAfrica event in Nigeria;

Karen Chukwu
Lightning talk about ""Binging on data to grow Africa""

#BigDataLittleData #DFA22 #DataFestKampala #DataScience #Data #DataFestNigeria | @Cc_HUB @KarenChukwu https://t.co/UWasmVKU5H",PollicyOrg,kampala uganda,3,10,Twitter Web App,introducing the speakers for this weeks   event in nigeria;karen chukwulightning talk about binging on data to grow africa         ,introducing speaker week event nigeria ; karen chukwulightning talk binging data grow,0.0,Positive
2022-07-25 09:25:04+00:00,"Introducing the speakers for this week's  #DataFestAfrica event in Nigeria;

Nathaniel Adewole
Lightning talk about ""what it means to be safe online""

#BigDataLittleData #DFA22 #DataFestKampala #DataScience #Data #DataFestNigeria | 
@Cc_HUB https://t.co/opTZxfKSWV",PollicyOrg,kampala uganda,3,7,Twitter Web App,introducing the speakers for this weeks   event in nigeria;nathaniel adewolelightning talk about what it means to be safe online        ,introducing speaker week event nigeria ; nathaniel adewolelightning talk mean safe online,0.09375,Positive
2022-07-25 07:32:51+00:00,"One day to go!!🔊
Join the #DataFestAfrica Noise Pollution classification challenge.
Prize: $1000
https://t.co/SWMlA8tdo3

#DFA22 #DataFestKampala https://t.co/B80Iy5Giv8",PollicyOrg,kampala uganda,2,4,Twitter Web App,one day to gojoin the  noise pollution classification challengeprize $  ,one day gojoin noise pollution classification challengeprize $,0.0,Positive
2022-07-24 20:28:02+00:00,@jacobukokobili @DataFestAfrica @OReillyMedia Let me see how it goes,DavidAbu_,global,0,1,Twitter for iPhone,   let me see how it goes,let see go,0.0,Positive
2022-07-24 17:26:07+00:00,@DavidAbu_ Baba na so... We should even add a book fair to @DataFestAfrica and partner with publishers like @OReillyMedia if we can,jacobukokobili,remote  ,0,4,Twitter for Android, baba na so we should even add a book fair to  and partner with publishers like  if we can,baba na even add book fair partner publisher like,0.7,Positive
2022-07-24 12:22:35+00:00,@WomenInDataAfri @TheDataEngrDuke @DataFestAfrica Our sponsor at it again😩😩,generalgbemi009,Unknown,0,3,Twitter for Android,   our sponsor at it again,sponsor,0.0,Positive
2022-07-24 09:21:59+00:00,@WomenInDataAfri @DataFestAfrica Thanks for the Privilege 🙏,TheDataEngrDuke,nigeria,1,2,Twitter for iPhone,  thanks for the privilege ,thanks privilege,0.2,Positive
2022-07-24 09:16:11+00:00,"Hello, @TheDataEngrDuke thank youuuuu for sponsoring 20 @WomenInDataAfri women to attend @DataFestAfrica, ✨.  

You are forever scarred in our hearts, 🫶🏾. 

Thank you once again, 🥺.",WomenInDataAfri,Unknown,5,30,Twitter for iPhone,hello  thank youuuuu for sponsoring   women to attend  ✨  you are forever scarred in our hearts 🫶 thank you once again 🥺,hello thank youuuuu sponsoring woman attend forever scarred heart 🫶 thank,0.0,Positive
2022-07-23 18:35:11+00:00,"@SeatlabNFT @5140481bittu I want to see @DaBabyDaBaby @DataFestAfrica Party.
@davido @DaBabyDaBaby @Robert_Aderholt",Rajsaurabh418,patna,0,0,Twitter for Android,  i want to see   party  ,want see party,0.0,Positive
2022-07-23 16:45:53+00:00,@owab03 @DataFestAfrica You can check it out on google. Search for it and register.,Abioye_bolu1501,lagos nigeria,0,0,Twitter for Android,  you can check it out on google search for it and register,check google search register,0.0,Positive
2022-07-23 14:18:58+00:00,@Abioye_bolu1501 @DataFestAfrica Pls how can I e register for the event?,owab03,nigeria,0,0,Twitter for Android,  pls how can i e register for the event,pls e register event,0.0,Positive
2022-07-23 13:33:09+00:00,"It is a great priviledge to represent @ZindiAfrica, will be speaking at the DataFest Africa Post-event in Lagos this year!

This year’s theme is “Big Data, Little Data and Everything Between”

See you there!” #DFA22 #DataFestNG https://t.co/VAHcHaJSVw",israelkingz1,ibadan nigeria,11,22,Twitter for Android,it is a great priviledge to represent  will be speaking at the datafest africa post-event in lagos this yearthis years theme is big data little data and everything betweensee you there   ,great priviledge represent speaking post-event lagos yearthis year theme big data little data everything betweensee,0.2041666666666667,Positive
2022-07-23 11:49:14+00:00,"@SeatlabNFT I want to see @DaBabyDaBaby @DataFestAfrica Party.
@davido @DaBabyDaBaby @Robert_Aderholt",Folamid_,minnesota,0,0,Twitter Web App, i want to see   party  ,want see party,0.0,Positive
